2026-03-04 08:19:19 | INFO     | src.search_service   | 开始多维度情报搜索: 太阳纸业(002078)
2026-03-04 08:19:19 | INFO     | src.search_service   | [情报搜索] 最新消息: 使用 Tavily
2026-03-04 08:19:19 | INFO     | data_provider.akshare_fetcher | [API调用] ak.stock_cyq_em(symbol=300004) 获取筹码分布...
2026-03-04 08:19:19 | INFO     | src.search_service   | [情报搜索] 风险排查: 使用 SerpAPI
2026-03-04 08:19:19 | ERROR    | data_provider.akshare_fetcher | [API错误] 获取 300004 筹码分布失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-04 08:19:19 | INFO     | src.core.pipeline    | [300004] 开始多维度情报搜索...
2026-03-04 08:19:19 | INFO     | src.search_service   | 开始多维度情报搜索: 南风股份(300004)
2026-03-04 08:19:19 | INFO     | src.search_service   | [情报搜索] 最新消息: 使用 Tavily
2026-03-04 08:19:19 | INFO     | src.search_service   | [SerpAPI] 搜索 '南山铝业 减持 处罚 利空 风险' 成功，返回 0 条结果，耗时 0.28s
2026-03-04 08:19:19 | INFO     | src.search_service   | [情报搜索] 风险排查: 获取 0 条结果
2026-03-04 08:19:20 | INFO     | src.search_service   | [情报搜索] 业绩预期: 使用 Tavily
2026-03-04 08:19:21 | INFO     | src.search_service   | [Tavily] 搜索完成，query='南风股份 300004 最新 新闻 2026年1月', 返回 3 条结果
2026-03-04 08:19:21 | INFO     | src.search_service   | [Tavily] 搜索 '南风股份 300004 最新 新闻 2026年1月' 成功，返回 3 条结果，耗时 2.45s
2026-03-04 08:19:21 | INFO     | src.search_service   | [情报搜索] 最新消息: 获取 3 条结果
2026-03-04 08:19:22 | INFO     | src.search_service   | [情报搜索] 风险排查: 使用 SerpAPI
2026-03-04 08:19:22 | INFO     | src.search_service   | [Tavily] 搜索完成，query='南山铝业 年报预告 业绩预告 业绩快报 2025年报', 返回 3 条结果
2026-03-04 08:19:22 | INFO     | src.search_service   | [Tavily] 搜索 '南山铝业 年报预告 业绩预告 业绩快报 2025年报' 成功，返回 3 条结果，耗时 2.47s
2026-03-04 08:19:22 | INFO     | src.search_service   | [情报搜索] 业绩预期: 获取 3 条结果
2026-03-04 08:19:22 | INFO     | src.search_service   | [SerpAPI] 搜索 '南风股份 减持 处罚 利空 风险' 成功，返回 0 条结果，耗时 0.27s
2026-03-04 08:19:22 | INFO     | src.search_service   | [情报搜索] 风险排查: 获取 0 条结果
2026-03-04 08:19:23 | INFO     | src.search_service   | [Tavily] 搜索完成，query='太阳纸业 002078 最新 新闻 2026年1月', 返回 3 条结果
2026-03-04 08:19:23 | INFO     | src.search_service   | [Tavily] 搜索 '太阳纸业 002078 最新 新闻 2026年1月' 成功，返回 3 条结果，耗时 3.70s
2026-03-04 08:19:23 | INFO     | src.search_service   | [情报搜索] 最新消息: 获取 3 条结果
2026-03-04 08:19:23 | INFO     | src.core.pipeline    | [600219] 情报搜索完成: 共 6 条结果
2026-03-04 08:19:23 | INFO     | src.search_service   | [情报搜索] 业绩预期: 使用 Tavily
2026-03-04 08:19:23 | INFO     | src.search_service   | [情报搜索] 风险排查: 使用 SerpAPI
2026-03-04 08:19:23 | INFO     | src.search_service   | [SerpAPI] 搜索 '太阳纸业 减持 处罚 利空 风险' 成功，返回 0 条结果，耗时 0.25s
2026-03-04 08:19:23 | INFO     | src.search_service   | [情报搜索] 风险排查: 获取 0 条结果
2026-03-04 08:19:24 | INFO     | src.search_service   | [情报搜索] 业绩预期: 使用 Tavily
2026-03-04 08:19:25 | INFO     | src.analyzer         | ========== AI 分析 南山铝业(600219) ==========
2026-03-04 08:19:25 | INFO     | src.analyzer         | [LLM配置] 模型: deepseek-chat
2026-03-04 08:19:25 | INFO     | src.analyzer         | [LLM配置] Prompt 长度: 2407 字符
2026-03-04 08:19:25 | INFO     | src.analyzer         | [LLM配置] 是否包含新闻: 是
2026-03-04 08:19:25 | INFO     | src.analyzer         | [LLM Prompt 预览]
# 决策仪表盘分析请求

## 📊 股票基础信息
| 项目 | 数据 |
|------|------|
| 股票代码 | **600219** |
| 股票名称 | **南山铝业** |
| 分析日期 | 2026-03-03 |

---

## 📈 技术面数据

### 今日行情
| 指标 | 数值 |
|------|------|
| 收盘价 | 7.2 元 |
| 开盘价 | 7.33 元 |
| 最高价 | 7.59 元 |
| 最低价 | 7.16 元 |
| 涨跌幅 | -2.83% |
| 成交量 | 415.47 万股 |
| 成交额 | 30.52 亿元 |

### 均线系统（关键判断指标）
| 均线 | 数值 | 说明 |
|------|------|------|
| MA7 | 7.04 | 短期趋势线 |
| MA13 | 6.94 | 中短期趋势线 |
| MA24 | 7.01 | 中期趋势线 |
| 均线形态 | 短期向好 🔼 | 多头/空头/缠绕 |

### 实时行情增强数据
| 指标 | 数值 | 解读 |
|------|------|...
2026-03-04 08:19:25 | INFO     | src.analyzer         | [LLM调用] 开始调用 Gemini API (temperature=0.7, max_tokens=8192)...
2026-03-04 08:19:25 | INFO     | src.search_service   | [Tavily] 搜索完成，query='南风股份 年报预告 业绩预告 业绩快报 2025年报', 返回 3 条结果
2026-03-04 08:19:25 | INFO     | src.search_service   | [Tavily] 搜索 '南风股份 年报预告 业绩预告 业绩快报 2025年报' 成功，返回 3 条结果，耗时 1.97s
2026-03-04 08:19:25 | INFO     | src.search_service   | [情报搜索] 业绩预期: 获取 3 条结果
2026-03-04 08:19:25 | INFO     | src.core.pipeline    | [300004] 情报搜索完成: 共 6 条结果
2026-03-04 08:19:26 | INFO     | src.search_service   | [Tavily] 搜索完成，query='太阳纸业 年报预告 业绩预告 业绩快报 2025年报', 返回 3 条结果
2026-03-04 08:19:26 | INFO     | src.search_service   | [Tavily] 搜索 '太阳纸业 年报预告 业绩预告 业绩快报 2025年报' 成功，返回 3 条结果，耗时 1.84s
2026-03-04 08:19:26 | INFO     | src.search_service   | [情报搜索] 业绩预期: 获取 3 条结果
2026-03-04 08:19:26 | INFO     | src.core.pipeline    | [002078] 情报搜索完成: 共 6 条结果
2026-03-04 08:19:27 | INFO     | src.analyzer         | ========== AI 分析 南风股份(300004) ==========
2026-03-04 08:19:27 | INFO     | src.analyzer         | [LLM配置] 模型: deepseek-chat
2026-03-04 08:19:27 | INFO     | src.analyzer         | [LLM配置] Prompt 长度: 2196 字符
2026-03-04 08:19:27 | INFO     | src.analyzer         | [LLM配置] 是否包含新闻: 是
2026-03-04 08:19:27 | INFO     | src.analyzer         | [LLM Prompt 预览]
# 决策仪表盘分析请求

## 📊 股票基础信息
| 项目 | 数据 |
|------|------|
| 股票代码 | **300004** |
| 股票名称 | **南风股份** |
| 分析日期 | 2026-03-03 |

---

## 📈 技术面数据

### 今日行情
| 指标 | 数值 |
|------|------|
| 收盘价 | 14.25 元 |
| 开盘价 | 15.65 元 |
| 最高价 | 15.7 元 |
| 最低价 | 14.19 元 |
| 涨跌幅 | -8.24% |
| 成交量 | 26.74 万股 |
| 成交额 | 3.95 亿元 |

### 均线系统（关键判断指标）
| 均线 | 数值 | 说明 |
|------|------|------|
| MA7 | 14.84 | 短期趋势线 |
| MA13 | 14.47 | 中短期趋势线 |
| MA24 | 14.75 | 中期趋势线 |
| 均线形态 | 震荡整理 ↔️ | 多头/空头/缠绕 |

### 实时行情增强数据
| 指标 | 数值 | 解读 |
|------|-...
2026-03-04 08:19:27 | INFO     | src.analyzer         | [LLM调用] 开始调用 Gemini API (temperature=0.7, max_tokens=8192)...
2026-03-04 08:19:28 | INFO     | src.analyzer         | ========== AI 分析 太阳纸业(002078) ==========
2026-03-04 08:19:28 | INFO     | src.analyzer         | [LLM配置] 模型: deepseek-chat
2026-03-04 08:19:28 | INFO     | src.analyzer         | [LLM配置] Prompt 长度: 2180 字符
2026-03-04 08:19:28 | INFO     | src.analyzer         | [LLM配置] 是否包含新闻: 是
2026-03-04 08:19:28 | INFO     | src.analyzer         | [LLM Prompt 预览]
# 决策仪表盘分析请求

## 📊 股票基础信息
| 项目 | 数据 |
|------|------|
| 股票代码 | **002078** |
| 股票名称 | **太阳纸业** |
| 分析日期 | 2026-03-03 |

---

## 📈 技术面数据

### 今日行情
| 指标 | 数值 |
|------|------|
| 收盘价 | 16.95 元 |
| 开盘价 | 17.18 元 |
| 最高价 | 17.44 元 |
| 最低价 | 16.8 元 |
| 涨跌幅 | -1.68% |
| 成交量 | 35.31 万股 |
| 成交额 | 6.03 亿元 |

### 均线系统（关键判断指标）
| 均线 | 数值 | 说明 |
|------|------|------|
| MA7 | 17.14 | 短期趋势线 |
| MA13 | 16.92 | 中短期趋势线 |
| MA24 | 16.63 | 中期趋势线 |
| 均线形态 | 震荡整理 ↔️ | 多头/空头/缠绕 |

### 实时行情增强数据
| 指标 | 数值 | 解读 |
|------|-...
2026-03-04 08:19:28 | INFO     | src.analyzer         | [LLM调用] 开始调用 Gemini API (temperature=0.7, max_tokens=8192)...
2026-03-04 08:20:10 | INFO     | src.analyzer         | [LLM返回] Gemini API 响应成功, 耗时 42.46s, 响应长度 3932 字符
2026-03-04 08:20:10 | INFO     | src.analyzer         | [LLM返回 预览]
```json
{
    "sentiment_score": 35,
    "trend_prediction": "看空",
    "operation_advice": "卖出/观望",
    "confidence_level": "中",
    
    "dashboard": {
        "core_conclusion": {
            "one_sentence": "均线空头排列，放量破位下跌，建议离场观望。",
            "signal_type": "🔴卖出信号",
